{label},{type},{food},{description},{address},{area},{town},{phone},{email},{website},{imageURL},{status},{latitude},{longtitude},Longtitude,{postcode},{theListReview},{theHeraldReview},{otherReviews},{vegan score},Calc Category,{foodOrdered},{latlng}
Peckhams (Newton Mearns),Delicatessen,Omni,"Vegan yoghurts, bacon & cheeses. Occasionally vegan snacks and sandwiches",275 Mearns Road,Newton Mearns,Glasgow,0141 639 3782,,http://www.peckhams.co.uk/NM1.html,http://www.peckhams.co.uk/images%5Cbranches%5CClarence.jpg,Open,55.775,-4.314,,,,,,,3,3. Omni,"55.775,-4.314"
Peking Inn,Chinese Restaurant,Omni,"Vegan options, or ring ahead for better choice. Specialize in smaller dishes.",191 Hope Street,City Centre,Glasgow,0141 332 8971,,,,Open,55.8632,-4.2579,,,,,,,3,3. Omni,"55.8632,-4.2579"
Petrie Fine Foods,Supplier,Vegetarian,"Produce vegetarian/vegan/diabetic cakes, dumplings, puddings and bread. Sell by mail order and via farmers markets",Townend of Gree ,Fenwick,Ayrshire,01560 600184,petriefinefoods@btinternet.com,http://www.scottishfoodguide.com/Details.ASPX?id=622,,Open,55.688,-4.43476,,KA3 4BL,,,,,2,2. Vegetarian,"55.688,-4.43476"
Port Royal Hotel,Hotel; Russian Restaurant,Omni,Russian owned and themed restaurant. Vegetarian and vegan options available on request,37 Marine Road,Port Bannatyne,Isle of Bute,01700 505073,stay@butehotel.com,http://www.butehotel.com/,http://www.butehotel.com/PortRoyal1.jpg,Open,55.8598,-5.08243,,PA20 0LW,,,,,3,3. Omni,"55.8598,-5.08243"
Pret a Manger (Bothwell St),Sandwich Shop,Omni,Now only occasionally sell vegan sandwiches and snacks. Soy lattes,65-69 Bothwell Street,City Centre,Glasgow,020 7932 5305,,http://www.pret.com/find_a_pret/shops/shop_90.shtm,http://www.pret.com/images/scaled/200/garlic.jpg,Open,55.8612,-4.2613,,,,,,3,3,3. Omni,"55.8612,-4.2613"
Pret a Manger (Sauchiehall St),Sandwich Shop,Omni,Now only occasionally sell vegan sandwiches and snacks. Soy lattes,34 Sauchiehall Street,City Centre,Glasgow,020 7932 5299,,http://www.pret.com/find_a_pret/shops/shop_84.shtm,http://www.pret.com/images/scaled/200/garlic.jpg,Open,55.8644,-4.25426,,,,,,3,3,3. Omni,"55.8644,-4.25426"
Pret a Manger (St Vincent St),Sandwich Shop,Omni,Now only occasionally sell vegan sandwiches and snacks. Soy lattes,104 St Vincent Street,City Centre,Glasgow,0207 932 5315,,http://www.pret.com/find_a_pret/shops/shop_99.shtm,http://www.pret.com/images/scaled/200/garlic.jpg,Open,55.8616,-4.25651,,,,,,3,3,3. Omni,"55.8616,-4.25651"
Quality Deli and Health Foods,Health Shop,Vegetarian,"Good range of vegan and organic products, fresh snacks and friendly service.",123 Douglas Street,City Centre,Glasgow,0141 331 2984,,,,Open,55.8651,-4.26349,,,,,,4,2,2. Vegetarian,"55.8651,-4.26349"
Red,Indian Cafe/Restaurant,Omni,"Offshoot of Shimla Pinks, offers cafe style Indian food, cheap curries, and vegan food on the menu",219 Byres Road,Hillhead,Glasgow,,,,,Closed,55.8757,-4.2937,,G12 8TL ,,,,2,3,3. Omni,"55.8757,-4.2937"
Roma Mia,Italian Restaurant,Omni,Local Italian run by two brothers from Rome. Veggie dishes on the menu and vegan dishes on request. Friendly helpful service,162 - 164 Darnley Street,Pollockshields,,0141 423 6694,,http://www.romamia.co.uk,http://www.romamia.co.uk/pics/massimo_sm.jpg,Open,55.8404,-4.27034,,G41 2LL ,http://www.list.co.uk/place/100146-roma-mia/,,,2,3,3. Omni,"55.8404,-4.27034"
Roots & Fruits,Delicatessen / Greengrocer,Omni,Vegan snacks and groceries,351 Byres Road,Hillhead,Glasgow,0141 339 5164,,http://www.google.co.uk/url?sa=t&ct=res&cd=1&url=http%3A%2F%2Fwww.peckhams.co.uk%2FLZ1.html&ei=F3x7R9zJBaLEwQHm14nMBw&usg=AFQjCNEabZiCQrBK1817WJXjE_ccw0Ii_Q&sig2=5zSLsqbpUPN297wMy_xM7A,,Open,55.8771,-4.29169,,,,,,,3,3. Omni,"55.8771,-4.29169"
Roots and Fruits Organic,Delicatessen;Greengrocer,Omni,"Vegan snacks, deli products, bread, ice cream",Gt Western Road,Kelvinbridge,Glasgow,,,http://www.rootsandfruits.co.uk,,Open,55.875,-4.28108,,,,,,,3,3. Omni,"55.875,-4.28108"
See Woo,Shop,Omni,"Huge chinese superstore and cash+carry, with wide range or oriental fruit, vegetable, frozen and dry goods. Cheap tofu blocks, large range of soy and seitan products. Large tanks of live lobsters & fish, and pigs heads at the back not for the squeamish",29 Saracen Street,Possilpark,Glasgow,0845 078 8818,,http://www.seewoo.com/x/glasgow.html,http://www.seewoo.com/iImages/15image.jpg,Open,55.8782,-4.25515,,,,http://www.theherald.co.uk/goingout/food/display.var.1273421.0.see_woo_glasgow.php,,,3,3. Omni,"55.8782,-4.25515"
Shallal,Lebanese Restaurant,Omni,The usual good range of Lebanese mezze hot and cold,27 Gibson Street,Hillhead,Glasgow,0141 334 1414,,,,Open,55.8724,-4.28246,,G12 8NX,,http://www.heraldscotland.com/shallal-glasgow-1.859578,,,3,3. Omni,"55.8724,-4.28246"
Sith Cafe,Cafe,Omni,"Cafe, and gift/clothes shop. Vegan options",459 Dumbarton Road,Partick,Glasgow,0141 334 9013,info@sithcafe.com,http://www.sithcafe.com,http://lh3.ggpht.com/_ffjdz1gfAtc/SJ9wdeTa4PI/AAAAAAAAAPo/hC9J9JRjbh4/IMG_1123.JPG?imgmax=400,Open,55.870742,-4.311833,,G11 6EJ,http://www.list.co.uk/place/103291-sith-cafe/,,,,3,3. Omni,"55.870742,-4.311833"
Soups U,Soup Bar,Omni,"Soup, baked potatoes and sandwiches. Always several veggie soups on menu and usually some of these are vegan. Staff are helpful, and all soups made on premises, so ingedients known.",146 Wellington Street,City Centre,Glasgow,0141 332 0500,,,,Open,55.8646,-4.25876,,,,,,,3,3. Omni,"55.8646,-4.25876"
Stereo,Bar;Cafe;Bakery,Vegan,"Bakery and Bar. Vegan scones, cakes and more. Open from lunch til midnight. Regular touring bands.",20-28 Renfield Lane,City Centre,Glasgow,0141 222 2254,,http://www.stereocafebar.com,http://farm3.static.flickr.com/2140/2046605831_dd2c811f17_m.jpg,Open,55.8612,-4.25795,,G2 6PH,http://www.list.co.uk/article/6024-eat-stereo/,http://www.theherald.co.uk/goingout/food/display.var.1880907.0.Stereo.php,,5,1,1. Vegan,"55.8612,-4.25795"
Strathwhillan House,Hotel,Omni,Vegetarian and vegan breakfasts by prior arrangement,,Brodick,Isle of Arran,01770 302331,info@strathwhillan.com,http://strathwhillan.enuu.net/,http://strathwhillan.enuu.net/images/Newhp2.gif,Open,55.5739,-5.13658,,KA27 8BQ,,,,,3,3. Omni,"55.5739,-5.13658"
Sutherlands Restaurant,Scottish Restaurant,Omni,"In Oct 09, had a separate entirely vegan a la carte menu, with several choices for starter, main and dessert. Restaurant for the Argyll Hotel. ",973 Sauchiehall Street,Kelvingrove,Glasgow,0141 337 3313,,http://www.argyllhotelglasgow.co.uk/rest.htm,http://www.argyllhotelglasgow.co.uk/images/S2.jpg,Open,55.8663,-4.28676,,G3 7TQ,,,,,3,3. Omni,"55.8663,-4.28676"
Tapa Bake House,Coffee House / Bakery,Vegetarian,"Organic artisan bakery, café and coffee roasterie. Vegan options always available, and soy milk",19-21 Whitehill Street,Dennistoun,Glasgow,0141 554 9581,info@tapabakehouse.co.uk,http://www.tapabakehouse.co.uk/,http://farm3.static.flickr.com/2406/2269164678_46ca4349ea_s.jpg,Open,55.8589,-4.219,,,http://www.list.co.uk/place/102270-tapa-coffee-bakehouse/,,http://www.happycow.net/reviews.php?id=3594,4,2,2. Vegetarian,"55.8589,-4.219"
Tapa Coffee House,Coffee House,Omni,Vegetarian plus fish dishes,721 Pollokshaws Road,Strathbungo,Glasgow,0141 423 9494,info@tapabakehouse.co.uk,http://www.tapabakehouse.com/,http://base.googlehosted.com/base_media?q=LBC-8987736-3630930859&size=4&hl=en,Open,55.835506,-4.269691,,G41 2AA,,,,2,3,3. Omni,"55.835506,-4.269691"
Tchai Ovna (South Side),Tea House,Vegetarian,"Tea house, eclectic in its furniture and huge choice of teas. Soups are usually vegan, as can be the couscous and other dishes on request.",169 Deanston Drive,Shawlands,Glasgow,0141 649 7258,,http://www.tchaiovna.com/southside.php,http://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Tchai-Ovna_South.jpg/220px-Tchai-Ovna_South.jpg,Closed,55.8276,-4.2193,,G41 3LP,http://www.list.co.uk/place/18498-tchai-ovna/,,,4,2,2. Vegetarian,"55.8276,-4.2193"
Tchai Ovna (West End),Tea House,Vegetarian,"Unique hidden away tea house and garden, eclectic in its furniture and huge choice of teas. Soups are usually vegan, as can be the couscous and other dishes on request.",42 Otago Lane,Hillhead,Glasgow,0141 357 4524,,http://www.tchaiovna.com,http://a828.ac-images.myspacecdn.com/images01/2/m_7f65dd99302846d13214be133dd3e243.jpg,Open,55.8727,-4.28186,,G12 8PB,http://www.list.co.uk/place/100748-tchai-ovna-house-of-tea/,,,4,2,2. Vegetarian,"55.8727,-4.28186"
The 78,Bar;Cafe,Vegan,"All vegan and largely organic menu served until 8pm. Good range of microbrews and organic beers, wine & ciders. Open peat fire, regular jazz nights, outside tables.",10 Kelvinhaugh Street,Kelvingrove,Glasgow,0141 576 5018,,http://www.the78cafebar.com/,http://farm2.static.flickr.com/1135/528271975_284753a288_m.jpg,Open,55.8651,-4.28669,,G3 8NU,http://www.list.co.uk/place/102939-the-78/,http://www.theherald.co.uk/goingout/food/display.var.1637168.0.0.php,,5,1,1. Vegan,"55.8651,-4.28669"
The Bay Tree,Cafe,Omni,"Used to be vegan, but now has meat main dishes. Claim veggie meals cooked separately in kitchen, and have good middle eastern dishes, vegan breakfasts, burgers and soy ice cream.",403 Great Western Road,Kelvinbridge,Glasgow,0141 334 5898,,,,Open,55.874,-4.27779,,G4 9HY,http://www.list.co.uk/place/100049-the-bay-tree-cafe/,,,3,3,3. Omni,"55.874,-4.27779"
The Flying Duck,Nightclub,Vegan,"Nightclub themed as a tenement flat, with kitchen serving toast and tea (plus the usual bars)",142 Renfield Street,City Centre,Glasgow,0141 572 0100,flyingduckclub@googlemail.com,http://www.flyingduckclub.com/,http://a857.ac-images.myspacecdn.com/images01/78/m_ec92f32b3414b6e2ecb6bfd28c60ca60.jpg,Open,55.8655,-4.25507,,G2 3AU,,,,2,1,1. Vegan,"55.8655,-4.25507"
The Granary,Cafe,Omni,"Veggie+fish café with usually a choice of vegan dishes on the menu too, plus salads.",Howard Street,City Centre,Glasgow,0141 226 3770,,,,Open,55.8564,-4.25386,,,,,,,3,3. Omni,"55.8564,-4.25386"
Tibo,Coffee Shop; Delicatessen,Omni,Deli with vegetarian menu entries and minimal vegan options (hummous and pitta),443 Duke Street,Dennistoun,Glasgow,0141 550 2050,,http://www.tibo-deli.co.uk,http://www.tibo-deli.co.uk/image/logo9_Copy32.jpg,Open,55.8584,-4.22084,,G31 1RY,,http://www.theherald.co.uk/goingout/food/display.var.1534728.0.0.php,,,3,3. Omni,"55.8584,-4.22084"
Tir na nOg,Cafe,Vegetarian,Dairy-intensive veggie cafe with some vegan options. Food is locally sourced and organic where possible,Balfunning,Balfron Station,Stirlingshire,01360 449300,,http://www.tirnanog.co.uk,,Open,56.0749,-4.39463,,G63 0NF,,,,,2,2. Vegetarian,"56.0749,-4.39463"
Universal Bar,Bar; Cafe,Omni,Vegan options on menu,57-59 Sauchiehall Lane,City Centre,Glasgow,0141 332 8899,robertmullen@ntlworld.com,,http://base.googlehosted.com/base_media?q=maps:88.191.13.186/google/240/10093378.jpg&size=4&hl=en,Open,55.864255,-4.258133,,G2 4AB,http://www.list.co.uk/place/101242-the-universal/,,http://www.dailyrecord.co.uk/entertainment/entertainment-catch-all/2008/10/14/hidden-oasis-close-to-the-hub-of-glasgow-s-nightlife-86908-20801691/,,3,3. Omni,"55.864255,-4.258133"
VOV Organic,Shop,Vegetarian,"Organic fruit and veg, vegan groceries, beauty products, children's clothes and jewellery",35 Old Dumbarton Road,Yorkhill,Glasgow,0141 334 1225, info@vovorganic.co.uk,http://www.vovorganic.co.uk/,http://home.btconnect.com/www.vovorganic.co.uk/_wp_generated/wp175193a7_0f.jpg,Open,55.86715,-4.29122,,G3 8RD,,,http://home.btconnect.com/www.vovorganic.co.uk/Article.pdf,,2,2. Vegetarian,"55.86715,-4.29122"
Wagamama,Japanese Restaurant,Omni,"Japanese canteen style noodle restaurant. Small set of generous vegan selections always available on the menu, helpful staff knowledgable about vegan dishes",97-103 West George Street,City Centre,Glasgow,0141 229 1468,,http://www.wagamama.com/locations_map.php?locationid=28,,Open,55.8622,-4.25527,,G2 1PB,http://www.list.co.uk/place/102153-wagamama/,,,2,3,3. Omni,"55.8622,-4.25527"
Wagamama (Silverburn),Japanese Restaurant,Omni,"Japanese canteen style noodle restaurant. Small set of generous vegan selections always available on the menu, helpful staff knowledgable about vegan dishes",Silverburn Shopping Centre,Pollok,Glasgow,0141 880 5877,,http://www.wagamama.com/locations/showlocation/580,,Open,55.8232,-4.34284,,G53 6AF,http://www.list.co.uk/place/103189-wagamama/,,,,3,3. Omni,"55.8232,-4.34284"
Wee Curry Shop,Indian Restaurant,Omni,Tenement front-room sized offshoot of Mother India. Choice of 4 vegan dishes; food excellent and cheap. The original restaurant in a chain of 3,7 Buccleuch Street,Garnethill,Glasgow,0141 353 0777,info@theweecurryshop.com,http://www.weecurryshopglasgow.co.uk/index.php?action=cms.buccleuchstreet,http://www.motherindia.co.uk/images/beccleuch_street_1.jpg,Open,55.8672,-4.25982,,G3 6SJ,http://www.list.co.uk/place/100128-the-wee-curry-shop/,,,2,3,3. Omni,"55.8672,-4.25982"
Wee Curry Shop (Ashton Lane),Indian Restaurant,Omni,Individually cooked home style Indian food with good veggie selection,29 Ashton Lane,Hillhead,Glasgow,0141 357 5280,info@theweecurryshop.com,http://www.weecurryshopglasgow.co.uk/index.php?action=cms.ashtonlane,http://www.motherindia.co.uk/images/ashton_lane_1.jpg,Open,55.7751,-4.31414,,G12 8SJ,http://www.list.co.uk/place/101976-the-wee-curry-shop/,,,2,3,3. Omni,"55.7751,-4.31414"
Wee Curry Shop (Byres Road),Indian Restaurant,Omni,"Individually cooked home style Indian food with good veggie selection. Opened at end of 2007, and maintains the cosy kitchen-centred feel of the original",41 Byres Road,Partick,Glasgow,0141 339 1339,info@theweecurryshop.com,http://www.weecurryshopglasgow.co.uk/index.php?action=cms.byresroad,,Open,55.8713,-4.29865,,G11 5RG,,,,2,3,3. Omni,"55.8713,-4.29865"
West Cornwall Pasty Company,Fast Food Stall,Omni,Two of the pasties (vegetable and wholemeal vegetable) are now vegan - the new vegan ones have a yellow sticker on the box marked 'new glaze',Central Station,City Centre,Glasgow,0141 221 4796,info@westcornwallpasty.co.uk,http://www.westcornwallpasty.co.uk/,,Open,55.86,-4.258,,G1 3SJ,,,,,3,3. Omni,"55.86,-4.258"
Where the Monkey Sleeps,Cafe,Omni,"Some vegan sandwiches & smoothies, friendly staff will create if no vegan options left",182 West Regent Street,City Centre,Glasgow,0141 226 3046,,http://www.monkeysleeps.com/,http://www.monkeysleeps.com/images/front_shop.jpg,Open,55.8638,-4.26191,,G2 4RU,http://www.list.co.uk/place/100750-where-the-monkey-sleeps/,,,,3,3. Omni,"55.8638,-4.26191"
White Rock,Bed & Breakfast,Omni,"Vegan breakfasts, packed lunches and dinners available on request",Leac Na Ban,Tayvallich,Argyll,01546 870310 ,whiterock.argyll@btinternet.com,http://www.whiterock-argyll.co.uk/,http://www.whiterock-argyll.co.uk/house1.jpg,Open,56.0691,-5.55772,,PA31 8PF ,,,,,3,3. Omni,"56.0691,-5.55772"
Wong's,Chinese Restaurant,Omni,"Sizable vegetarian menu, good variety of bean curd dishes.",920 Maryhill Road,Queens Cross,Glasgow,0141 945 4164,,,,Open,55.8616,-4.25646,,,,,,,3,3. Omni,"55.8616,-4.25646"
Yadgar,Takeway; Cafe,Omni,"Pakistani takeaway, with excellent cheap veggie curries (if you can overlook the variety of animal organs for sale)",148 Calder Street,Govanhill,Glasgow,0141 424 3722,,,,Open,55.8374,-4.26225,,,,,,,3,3. Omni,"55.8374,-4.26225"
